District,School,County,Enrollment,2021/09/18,2021/10/02,2021/10/16,2021/10/30,2021/11/13,2021/11/27,2021/12/11,2021/12/25
Northeast Metro 916,East View Academy,Ramsey,155,0,0,0,0,0,0,0,0
Northeast Metro 916,Metro Heights Academy,Anoka,223,0,0,0,0,0,0,0,0
Intermediate School District 917,917 Transitional Education Serv Alt,Dakota,120,0,0,0,0,0,0,0,0
Intermediate School District 917,917 Intra-Dakota Educational Alt,Dakota,57,0,0,0,0,0,0,0,0
Intermediate School District 917,Dakota Cty. ALC,Dakota,269,0,0,0,0,0,0,0,0
Intermediate School District 917,West Heights ALC,Dakota,98,0,0,0,0,0,0,0,0
Intermediate School District 917,917 Sun,Dakota,144,0,0,0,0,0,0,0,0
Intermediate School District 917,TEA,Dakota,57,0,0,0,0,0,0,0,0
Fergus Falls Area Special Education Cooperative,Fergus Falls Early Childhood Sp Ed,Otter Tail,57,0,0,0,0,0,0,0,0
Meeker And Wright Special Education,Meeker-Wright Early Childhood Sp Ed,Wright,65,0,0,0,0,0,0,0,0
Wright Technical Center,Wright Technical Center ALC,Wright,77,0,0,0,0,0,0,0,0
Perpich Center For Arts Education,Perpich Center For Arts Education,Hennepin,143,4,13,13,13,17,17,17,17
Lake Crystal-Wellcome Memorial,Lake Crystal-Wellcome Memorial Elementary,Blue Earth,422,0,0,4,13,22,26,35,39
Lake Crystal-Wellcome Memorial,LK CRYSTAL-WELLCOME MEMORIAL SECONDARY,Blue Earth,476,0,0,0,0,9,9,9,9
Triton School District,Triton Middle School,Dodge,239,0,0,4,13,17,21,25,25
Triton School District,Triton Elementary,Dodge,440,0,0,4,8,27,31,35,39
Triton School District,Triton High School,Dodge,327,0,0,0,0,0,0,0,0
United South Central School Dist.,United South Central Elementary,Faribault,428,0,0,0,4,8,17,26,30
United South Central School Dist.,United South Central High School,Faribault,332,0,0,9,13,17,21,30,34
Maple River School District,Maple River Secondary,Blue Earth,533,0,0,0,0,0,0,0,0
Maple River School District,Maple River East Elementary,Faribault,159,0,0,0,0,0,0,0,0
Maple River School District,Maple River West Elementary,Blue Earth,158,0,0,0,0,0,0,0,0
Kingsland Public School District,Kingsland Elementary School,Fillmore,268,0,0,9,18,22,31,35,39
Kingsland Public School District,Kingsland Junior/Senior High School,Fillmore,265,0,0,19,23,27,27,27,27
St. Louis County School District,Babbitt Elementary,Saint Louis,92,0,0,0,0,0,0,0,0
St. Louis County School District,Tower-Soudan Elementary,Saint Louis,95,0,0,0,0,0,0,0,0
St. Louis County School District,Northeast Range Secondary,Saint Louis,133,0,0,0,0,0,0,0,0
St. Louis County School District,South Ridge Elementary,Saint Louis,308,0,0,0,4,8,17,21,25
St. Louis County School District,South Ridge Secondary,Saint Louis,270,0,0,0,0,0,0,0,0
St. Louis County School District,North Woods Elementary,Saint Louis,223,0,0,9,18,22,26,30,30
St. Louis County School District,North Woods Secondary,Saint Louis,297,9,28,28,28,32,32,32,32
St. Louis County School District,Cherry Secondary,Saint Louis,252,4,33,42,46,50,50,50,50
St. Louis County School District,Cherry Elementary,Saint Louis,286,9,38,47,51,55,55,55,55
Waterville-Elysian-Morristown Public School District,Morristown Elementary,Rice,118,0,0,0,0,0,0,0,0
Waterville-Elysian-Morristown Public School District,Waterville-Elysian-Morristown Jr.,Rice,141,0,0,0,0,0,0,0,0
Waterville-Elysian-Morristown Public School District,Waterville Elementary,Lesueur,266,0,0,0,0,4,4,4,4
Waterville-Elysian-Morristown Public School District,Waterville-Elysian-Morristown Sr.,Lesueur,235,0,0,9,13,17,17,17,17
Chisago Lakes School District,Chisago Lakes El.,Chisago,386,0,0,9,13,22,26,30,34
Chisago Lakes School District,Lakeside El.,Chisago,712,0,0,9,18,37,46,55,59
Chisago Lakes School District,Chisago Lakes Middle,Chisago,816,9,28,32,36,55,59,63,67
Chisago Lakes School District,Chisago Lakes Senior High,Chisago,1075,9,13,22,31,40,44,48,52
Chisago Lakes School District,Taylors Falls Elementary,Chisago,315,19,28,28,28,32,32,32,32
Minnewaska School District,Minnewaska Secondary,Pope,375,4,23,42,46,50,50,50,50
Minnewaska School District,Minnewaska Area Junior High,Pope,234,0,0,0,0,0,0,0,0
Minnewaska School District,Minnewaska Area Intermediate School,Pope,298,4,13,32,36,45,49,53,57
Minnewaska School District,Minnewaska Area Elementary,Pope,356,0,0,4,8,17,26,35,39
Wadena-Deer Creek School District,Wadena-Deer Creek Senior High,Wadena,446,4,13,42,51,60,64,68,72
Wadena-Deer Creek School District,Wadena-Deer Creek Elementary,Wadena,434,0,0,19,23,42,46,50,54
Wadena-Deer Creek School District,Wadena-Deer Creek 5th And 6th Grade,Wadena,153,0,0,0,0,0,0,0,0
Buffalo Lake-Hector-Stewart Public Schools,Buffalo Lake-Hector Elementary,Renville,202,0,0,4,13,17,21,25,25
Buffalo Lake-Hector-Stewart Public Schools,Buffalo Lake-Hector Secondary,Renville,277,0,0,0,0,0,0,0,0
Dilworth-Glyndon-Felton,Dilworth Elementary,Clay,452,4,13,22,31,50,54,58,62
Dilworth-Glyndon-Felton,Glyndon-Felton Elementary,Clay,315,0,0,4,8,17,21,25,29
Dilworth-Glyndon-Felton,Dilworth-Glyndon-Felton Middle School,Clay,391,4,13,17,21,30,34,38,42
Dilworth-Glyndon-Felton,Dilworth-Glyndon-Felton Senior High,Clay,427,0,0,9,13,17,17,17,17
Hinckley-Finlayson School District,Hinckley Elementary,Pine,462,0,0,4,13,17,21,25,25
Hinckley-Finlayson School District,Hinckley-Finlayson Secondary,Pine,409,0,0,9,13,17,17,17,17
Hinckley-Finlayson School District,Finlayson Elementary,Pine,68,0,0,0,0,0,0,0,0
Lakeview School District,Lakeview Elementary,Lyon,342,0,0,9,18,22,26,30,30
Lakeview School District,Lakeview Secondary,Lyon,275,4,13,13,13,17,17,17,17
NRHEG School District,NRHEG Secondary,Waseca,480,9,28,32,36,45,49,53,57
NRHEG School District,NRHEG Elementary,Steele,362,0,0,0,0,4,8,17,21
Murray County Central School Dist.,Murray Co. Central Elementary,Murray,396,4,13,22,26,30,30,30,30
Murray County Central School Dist.,Murray County Central Secondary,Murray,328,9,13,22,26,30,39,43,47
Staples-Motley School District,Staples-Motley Elementary,Todd,346,0,0,0,4,13,17,21,25
Staples-Motley School District,Staples-Motley Senior High,Todd,330,4,13,13,17,36,40,44,48
Staples-Motley School District,Motley-Staples Middle School,Todd,301,0,0,0,4,13,17,21,25
Kittson Central School District,Kittson Central Elementary,Kittson,136,0,0,0,0,4,8,17,21
Kittson Central School District,Kittson Central Secondary,Kittson,94,4,13,13,13,17,17,17,17
Kenyon-Wanamingo School District,Kenyon-Wanamingo Elementary,Goodhue,260,0,0,0,0,0,0,0,0
Kenyon-Wanamingo School District,Kenyon-Wanamingo Senior High,Goodhue,230,0,0,0,0,0,0,0,0
Kenyon-Wanamingo School District,Kenyon-Wanamingo Middle,Goodhue,236,0,0,0,0,0,0,0,0
Pine River-Backus School District,Pine River-Backus Elementary,Cass,469,4,23,32,36,40,40,40,40
Pine River-Backus School District,Pine River-Backus High School,Cass,386,4,13,13,13,17,17,17,17
Warren-Alvarado-Oslo School District,Warren Elementary,Marshall,286,4,13,22,26,30,30,30,30
Warren-Alvarado-Oslo School District,Warren-Alvarado-Oslo Secondary,Marshall,256,9,28,37,41,45,45,45,45
MACCRAY School District,MACCRAY WEST ELEMENTARY,Chippewa,202,4,13,22,26,30,30,30,30
MACCRAY School District,MACCRAY EAST ELEMENTARY,Kandiyohi,202,9,13,13,13,13,13,13,13
MACCRAY School District,MACCRAY SENIOR HIGH,Chippewa,325,0,0,9,13,17,17,17,17
Luverne Public School District,Luverne Elementary,Rock,523,0,0,4,8,12,21,25,29
Luverne Public School District,Luverne Middle,Rock,268,0,0,0,0,0,0,0,0
Luverne Public School District,Luverne Senior High,Rock,365,9,18,18,18,22,22,22,22
Yellow Medicine East,Bert Raney Elementary School,Yellow Medicine,280,0,0,9,18,22,26,30,30
Yellow Medicine East,Yellow Medicine East High School,Yellow Medicine,218,0,0,9,18,27,31,35,39
Yellow Medicine East,Yellow Medicine East Middle School,Yellow Medicine,158,4,8,27,31,35,35,35,35
Fillmore Central,Fillmore Central Elementary,Fillmore,306,0,0,9,18,22,26,30,30
Fillmore Central,Fillmore Central Senior High,Fillmore,252,0,0,19,28,32,36,40,40
Norman County East School District,Norman County East Secondary,Norman,109,0,0,0,0,0,0,0,0
Norman County East School District,Norman County East Elementary,Norman,116,0,0,0,0,0,0,0,0
Sibley East School District,Sibley East-Arlington Senior High,Sibley,374,4,13,22,26,30,30,30,30
Sibley East School District,Sibley East-Gaylord Elementary,Sibley,437,0,0,9,13,17,26,30,34
Sibley East School District,Sibley East Middle School,Sibley,264,0,0,9,13,17,17,17,17
Clearbrook-Gonvick School District,Clearbrook-Gonvick Elementary,Clearwater,210,0,0,0,0,4,4,4,4
Clearbrook-Gonvick School District,Clearbrook-Gonvick Secondary,Clearwater,223,0,0,0,0,0,0,0,0
West Central Area,West Central Area N. El.,Grant,184,0,0,0,0,0,0,0,0
West Central Area,West Central Area S. El.,Douglas,120,0,0,0,0,0,0,0,0
West Central Area,WEST CENTRAL AREA SECONDARY,Grant,242,0,0,0,0,0,0,0,0
West Central Area,WCA Middle School,Grant,227,0,0,0,0,0,0,0,0
Tri-County School District,Karlstad Elementary,Kittson,134,0,0,0,0,0,0,0,0
Tri-County School District,Tri-County Secondary,Kittson,78,0,0,4,13,32,36,40,44
Belgrade-Brooten-Elrosa Public School District,Belgrade-Brooten-Elrosa Elementary,Stearns,329,0,0,0,0,0,0,0,0
Belgrade-Brooten-Elrosa Public School District,Belgrade-Brooten-Elrosa Sec.,Stearns,312,0,0,0,0,0,0,0,0
G.F.W.,GFW Elementary School (PreK-5th Grade),Sibley,285,0,0,0,0,0,0,0,0
G.F.W.,GFW Junior/Senior High School (Grades 6-12),Sibley,384,4,13,22,26,30,30,30,30
A.C.G.C. Public School District,A.C.G.C. Elementary,Kandiyohi,328,0,0,0,0,0,0,0,0
A.C.G.C. Public School District,ACGC Elementary Grades 5 And 6,Meeker,139,0,0,0,0,0,0,0,0
A.C.G.C. Public School District,A.C.G.C. Secondary,Meeker,402,9,18,27,36,55,64,68,72
Le Sueur-Henderson School District,Park Elementary,Lesueur,232,0,0,0,4,13,22,26,30
Le Sueur-Henderson School District,Hilltop Elementary,Sibley,126,0,0,0,0,0,0,0,0
Le Sueur-Henderson School District,Le Sueur-Henderson High School,Lesueur,328,0,0,0,4,8,27,31,35
Le Sueur-Henderson School District,Le Sueur-Henderson Middle School,Lesueur,240,0,0,0,0,0,0,0,0
Martin County West School District,Sherburn Elementary,Martin,144,0,0,0,0,0,0,0,0
Martin County West School District,Trimont Elementary,Martin,194,4,23,23,23,27,27,27,27
Martin County West School District,Martin County West Senior High,Martin,214,4,13,13,13,17,17,17,17
Martin County West School District,Martin County West Junior High,Martin,115,0,0,0,0,0,0,0,0
Norman County West School District,Norman County West Elementary,Norman,69,0,0,0,0,0,0,0,0
Bird Island-Olivia-Lake Lillian Public School District,BOLD-Bird Island Elementary,Renville,211,0,0,0,0,0,0,0,0
Bird Island-Olivia-Lake Lillian Public School District,BOLD Middle School,Renville,188,0,0,0,0,0,0,0,0
Bird Island-Olivia-Lake Lillian Public School District,BOLD Senior High School,Renville,220,0,0,0,0,0,0,0,0
Granada Huntley East Chain,Granada Huntley East Chain Elementary School,Martin,138,0,0,0,0,0,0,0,0
Granada Huntley East Chain,Granada Huntley East Chain High School,Martin,84,4,13,13,13,17,17,17,17
Granada Huntley East Chain,Granada Huntley East Chain Middle School,Martin,71,0,0,0,0,0,0,0,0
East Central School District,East Central Elementary,Pine,381,0,0,0,0,0,0,0,0
East Central School District,East Central Senior Secondary,Pine,316,0,0,0,0,0,0,0,0
Win-E-Mac School District,Win-E-Mac Elementary,Polk,244,4,13,13,13,17,17,17,17
Win-E-Mac School District,Win-E-Mac Secondary,Polk,189,0,0,0,0,0,0,0,0
Greenbush-Middle River School Dist.,Greenbush Elementary,Roseau,124,0,0,0,0,0,0,0,0
Greenbush-Middle River School Dist.,Greenbush-Middle River Secondary,Roseau,122,0,0,0,0,0,0,0,0
Howard Lake-Waverly-Winsted,Winsted Elementary,Mcleod,175,0,0,0,0,0,0,0,0
Howard Lake-Waverly-Winsted,Howard Lake-Waverly-Winsted Sec.,Wright,332,4,13,22,26,30,30,30,30
Howard Lake-Waverly-Winsted,Humphrey Elementary,Wright,264,0,0,0,0,0,0,0,0
Howard Lake-Waverly-Winsted,Howard Lake-Waverly-Winsted Middle School,Wright,397,0,0,9,28,37,41,45,49
Pipestone Area School District,Brown Elementary,Pipestone,187,0,0,0,0,0,0,0,0
Pipestone Area School District,Hill Elementary,Pipestone,230,0,0,0,0,0,0,0,0
Pipestone Area School District,Pipestone Middle,Pipestone,306,0,0,0,0,0,0,0,0
Pipestone Area School District,Pipestone Senior High,Pipestone,345,0,0,0,0,0,0,0,0
Mesabi East School District,Mesabi East Elementary,Saint Louis,483,9,18,27,36,55,59,63,67
Mesabi East School District,Mesabi East Secondary,Saint Louis,441,4,8,27,36,40,44,48,48
Fairmont Area School District,Fairmont Elementary School,Martin,908,9,28,47,56,75,79,88,92
Fairmont Area School District,Fairmont Jr./Sr. High School,Martin,843,9,38,57,61,80,89,93,97
Long Prairie-Grey Eagle School District,Long Prairie-Grey Eagle Elementary,Todd,506,4,8,27,46,75,79,83,87
Long Prairie-Grey Eagle School District,Long Prairie-Grey Secondary School,Todd,424,9,18,27,36,40,44,48,48
Cedar Mountain School District,Cedar Mountain Elementary,Renville,168,0,0,0,0,0,0,0,0
Cedar Mountain School District,Cedar Mountain Secondary,Redwood,261,19,23,23,23,23,23,23,23
Morris Area Public Schools,Morris Area Secondary,Stevens,515,0,0,9,18,22,31,35,39
Morris Area Public Schools,Morris Area Elementary,Stevens,570,4,13,17,26,65,69,73,77
Zumbrota-Mazeppa School District,Zumbrota-Mazeppa Elementary School,Wabasha,387,4,8,27,36,45,54,58,62
Zumbrota-Mazeppa School District,Zumbrota-Mazeppa Senior High,Goodhue,390,0,0,4,8,17,26,30,34
Zumbrota-Mazeppa School District,Zumbrota-Mazeppa Middle School,Goodhue,182,0,0,0,0,0,0,0,0
Zumbrota-Mazeppa School District,Zumbrota-Mazeppa Primary School,Goodhue,269,4,13,32,36,40,40,40,40
Janesville-Waldorf-Pemberton,Janesville-Waldorf-Pemberton El.Em.,Waseca,332,0,0,9,18,22,26,30,30
Janesville-Waldorf-Pemberton,Janesville-Waldorf-Pemberton Sec,Waseca,335,0,0,0,0,0,0,0,0
Lac qui Parle Valley School Dist.,Madison-Marietta-Nassau Elementary,Lac qui Parle,147,0,0,0,0,0,0,0,0
Lac qui Parle Valley School Dist.,Appleton Elementary,Swift,191,0,0,0,0,0,0,0,0
Lac qui Parle Valley School Dist.,Lac qui Parle Valley Middle School,Lac qui Parle,119,0,0,0,0,0,0,0,0
Lac qui Parle Valley School Dist.,Lac qui Parle Valley Secondary,Lac qui Parle,324,4,23,27,36,45,64,68,72
Ada-Borup Public School District,Ada Elementary,Norman,257,0,0,0,0,0,0,0,0
Ada-Borup Public School District,Ada-Borup Secondary,Norman,362,0,0,19,23,27,27,27,27
Stephen-Argyle Central Schools,Argyle Elementary,Marshall,153,0,0,0,0,0,0,0,0
Stephen-Argyle Central Schools,Stephen Senior High,Marshall,140,4,13,13,13,17,17,17,17
Glencoe-Silver Lake School District,Lincoln Elementary,Mcleod,323,0,0,9,18,27,36,40,44
Glencoe-Silver Lake School District,Lakeside Elementary,Mcleod,433,4,13,22,31,35,39,43,43
Glencoe-Silver Lake School District,GSL Junior High School,Mcleod,246,0,0,0,0,0,0,0,0
Glencoe-Silver Lake School District,Glencoe-Silver Lake Senior High,Mcleod,521,4,13,32,41,45,49,53,53
Blue Earth Area Public School,Blue Earth Area Elementary,Faribault,464,4,13,22,26,35,39,43,47
Blue Earth Area Public School,Blue Earth Area Secondary,Faribault,429,4,43,62,66,70,70,70,70
Blue Earth Area Public School,Blue Earth Area Middle,Faribault,155,4,13,13,13,17,17,17,17
Red Rock Central School District,Red Rock Central Secondary,Redwood,243,0,0,0,0,0,0,0,0
Red Rock Central School District,Red Rock Central Elementary,Redwood,184,0,0,0,0,0,0,0,0
Glenville-Emmons School District,Glenville Emmons Elementary,Freeborn,119,0,0,0,0,0,0,0,0
Glenville-Emmons School District,Glenville-Emmons Secondary,Freeborn,111,0,0,0,0,0,0,0,0
Clinton-Graceville-Beardsley,Pre-K - 5th Grade Building,Big Stone,135,0,0,0,0,0,0,0,0
Clinton-Graceville-Beardsley,6-12th Grade Building,Big Stone,147,0,0,0,0,4,4,4,4
Lake Park Audubon School District,Lake Park Audubon Elementary,Becker,372,0,0,0,0,0,0,0,0
Lake Park Audubon School District,Lake Park Audubon Secondary,Becker,338,4,13,13,13,17,17,17,17
Renville County West School Dist.,Renville County West Elementary,Renville,334,0,0,4,8,27,31,35,35
Renville County West School Dist.,Renville County West Senior High,Renville,234,0,0,0,0,0,0,0,0
Jackson County Central School District,Pleasantview Elementary,Jackson,156,0,0,0,0,0,0,0,0
Jackson County Central School District,Riverside Elementary,Jackson,382,0,0,0,0,0,0,0,0
Jackson County Central School District,Jackson County Central Senior High,Jackson,335,0,0,0,0,0,0,0,0
Jackson County Central School District,Jackson County Central Middle,Jackson,266,0,0,0,0,0,0,0,0
Redwood Area School District,Redwood Valley Senior High,Redwood,332,0,0,0,4,13,17,21,25
Redwood Area School District,Reede Gray Elementary,Redwood,448,9,18,22,26,45,54,58,62
Redwood Area School District,Redwood Valley Middle,Redwood,349,19,38,38,42,46,55,59,63
Westbrook-Walnut Grove Schools,Walnut Grove Elementary,Redwood,275,9,18,18,22,41,45,49,53
Westbrook-Walnut Grove Schools,Westbrook-Walnut Grove Secondary,Cottonwood,152,0,0,4,13,17,21,25,25
Plainview-Elgin-Millville,Plainview-Elgin-Millville Pk-3,Wabasha,435,4,13,22,31,35,44,48,52
Plainview-Elgin-Millville,Plainview-Elgin-Millville 4-6,Wabasha,351,4,23,32,41,50,59,63,67
Plainview-Elgin-Millville,Plainview-Elgin-Millville Junior,Wabasha,246,0,0,0,0,0,0,0,0
Plainview-Elgin-Millville,PLAINVIEW-ELGIN-MILLVILLE HIGH,Wabasha,474,4,23,42,61,70,74,78,82
RTR Public Schools,RTR Elementary School,Pipestone,207,0,0,0,0,0,0,0,0
RTR Public Schools,RTR Middle School,Lyon,150,0,0,0,0,0,0,0,0
RTR Public Schools,RTR High School,Lincoln,199,0,0,0,0,0,0,0,0
Ortonville Public Schools,Knoll Elemntary,Big Stone,256,4,13,13,13,17,17,17,17
Ortonville Public Schools,Ortonville Secondary,Big Stone,226,0,0,0,0,0,0,0,0
Tracy Area Public School District,Tracy Secondary,Lyon,345,9,18,18,18,22,22,22,22
Tracy Area Public School District,Tracy Elementary,Lyon,336,4,13,42,46,50,50,50,50
Tri-City United School District,Le Center Pre K-8,Lesueur,456,0,0,0,4,13,17,21,25
Tri-City United School District,Tri-City United High School,Lesueur,544,4,23,42,51,55,64,73,77
Tri-City United School District,Montgomery Pre K-8,Lesueur,577,0,0,0,4,8,17,21,25
Tri-City United School District,LONSDALE PRE K-6,Rice,306,0,0,9,13,17,17,17,17
Red Lake County Central Public Schools,Red Lake County Central Elementary,Red Lake,215,4,23,23,23,27,27,27,27
Red Lake County Central Public Schools,Red Lake County Central High School,Red Lake,174,9,13,13,13,13,13,13,13
Round Lake-Brewster Public Schools,Round Lake-Brewster Elementary,Nobles,328,0,0,4,8,17,21,25,29
Round Lake-Brewster Public Schools,Round Lake-Brewster Middle School,Nobles,63,0,0,0,0,0,0,0,0
Brandon-Evansville Public Schools,Brandon Elementary,Douglas,103,0,0,0,0,0,0,0,0
Brandon-Evansville Public Schools,Evansville Elementary,Douglas,162,0,0,0,0,0,0,0,0
Brandon-Evansville Public Schools,Brandon-Evansville Middle School,Douglas,116,0,0,0,0,0,0,0,0
Brandon-Evansville Public Schools,Brandon-Evansville High School,Douglas,138,0,0,0,0,0,0,0,0
Rock Ridge Public Schools,Franklin Elementary,Saint Louis,283,4,8,17,21,25,25,25,25
Rock Ridge Public Schools,Nelle Shean Elementary,Saint Louis,129,9,13,13,13,13,13,13,13
Rock Ridge Public Schools,Roosevelt Elementary,Saint Louis,495,4,13,13,17,36,40,44,48
Rock Ridge Public Schools,Eveleth-Gilbert Junior High,Saint Louis,144,0,0,0,0,0,0,0,0
Rock Ridge Public Schools,Eveleth-Gilbert Senior High,Saint Louis,266,4,8,17,21,25,25,25,25
Rock Ridge Public Schools,Virginia Secondary,Saint Louis,777,4,13,22,26,30,39,43,47
Rock Ridge Public Schools,Parkview Elementary,Saint Louis,462,0,0,0,0,0,0,0,0
City Academy,City Academy,Ramsey,124,0,0,0,0,0,0,0,0
Bluffview Montessori,Bluffview Montessori,Winona,208,0,0,0,0,0,0,0,0
Cedar Riverside Community School,Cedar Riverside Community School,Hennepin,99,0,0,0,0,0,0,0,0
Metro Deaf School,Metro Deaf School,Ramsey,113,0,0,0,0,0,0,0,0
Minnesota New Country School,Minnesota New Country School,Sibley,135,0,0,0,4,13,17,21,25
Minnesota New Country School,Minnesota New Country Elementary,Sibley,83,0,0,0,0,0,0,0,0
PACT Charter School,PACT Charter School,Anoka,338,19,38,42,46,55,64,68,72
PACT Charter School,PACT Charter Secondary,Anoka,330,0,0,0,0,0,0,0,0
Athlos Leadership Academy,Athlos Leadership Academy,Hennepin,916,0,0,0,0,0,0,0,0
Community of Peace Academy,Community of Peace Academy Elementary School,Ramsey,285,0,0,0,0,0,0,0,0
Community of Peace Academy,Community of Peace Academy High School,Ramsey,253,0,0,0,0,0,0,0,0
Community of Peace Academy,Community of Peace Academy Middle School,Ramsey,278,0,0,0,0,0,0,0,0
World Learner Charter School,World Learner Charter School,Carver,200,0,0,4,8,12,21,30,34
Minnesota Transitions Charter School,Minnesota Transitions Charter Elementary,Hennepin,79,0,0,0,0,0,0,0,0
Minnesota Transitions Charter School,MTS High School,Hennepin,157,0,0,0,4,8,17,21,25
Minnesota Transitions Charter School,Minnesota Virtual Schools,Ramsey,366,0,0,0,0,0,0,0,0
Minnesota Transitions Charter School,Banaadir Academy,Hennepin,62,0,0,0,0,0,0,0,0
Minnesota Transitions Charter School,Minnesota Connections Academy,Ramsey,4550,0,0,0,0,0,0,0,0
Minnesota Transitions Charter School,Banaadir Elementary,Hennepin,179,0,0,0,0,0,0,0,0
Minnesota Transitions Charter School,Banaadir Secondary,Hennepin,90,0,0,0,0,0,0,0,0
Achieve Language Academy,Achieve Language Academy,Ramsey,450,0,0,4,8,17,21,25,29
Duluth Public Schools Academy,North Star Academy,Saint Louis,849,4,8,27,31,40,44,48,52
Duluth Public Schools Academy,Raleigh Primary/El Academy,Saint Louis,235,0,0,0,4,8,17,21,25
Cyber Village Academy,Cyber Village Academy,Ramsey,268,0,0,0,0,0,0,0,0
E.C.H.O. Charter School,E.C.H.O. Charter School,Yellow Medicine,69,0,0,0,0,0,0,0,0
Higher Ground Academy,Higher Ground Academy,Ramsey,608,0,0,0,0,0,0,0,0
Higher Ground Academy,Higher Ground Secondary Academy,Ramsey,421,0,0,0,0,0,0,0,0
St. Paul City School,St. Paul City Primary School,Ramsey,297,0,0,0,0,0,0,0,0
St. Paul City School,St. Paul City Middle School,Ramsey,150,0,0,0,0,0,0,0,0
St. Paul City School,River's Edge Academy,Ramsey,68,0,0,0,0,0,0,0,0
Jennings Community School,Jennings Experiential High School,Ramsey,65,0,0,0,0,0,0,0,0
Life Prep,LIFE Prep,Ramsey,233,0,0,0,0,0,0,0,0
Face To Face Academy,Face To Face Academy,Ramsey,97,0,0,0,0,0,0,0,0
Sojourner Truth Academy,Sojourner Truth Academy,Hennepin,329,0,0,0,0,0,0,0,0
High School For Recording Arts,High School For Recording Arts,Ramsey,323,0,0,0,0,0,0,0,0
Math And Science Academy,Math And Science Academy,Washington,543,0,0,0,0,0,0,0,0
Northwest Passage High School,Northwest Passage High School,Anoka,160,0,0,0,0,0,0,0,0
Lafayette Public Charter School,Lafayette Public Charter School,Nicollet,61,0,0,0,0,0,0,0,0
North Lakes Academy,North Lakes Academy Middle School,Washington,171,0,0,9,13,17,17,17,17
North Lakes Academy,North Lakes Academy Upper School,Washington,197,0,0,0,0,0,0,0,0
North Lakes Academy,North Lakes Academy Elementary,Washington,210,0,0,9,13,17,17,17,17
La Crescent Montessori & STEM School,La Crescent Montessori & STEM Academy,Houston,52,0,0,0,0,0,0,0,0
Nerstrand Charter School,Nerstrand Charter School,Rice,124,0,0,0,0,0,0,0,0
Rosa Parks Charter High School,Rosa Parks Charter High School,Olmsted,70,0,0,0,0,0,0,0,0
El Colegio Charter School,El Colegio Charter School,Hennepin,86,0,0,0,0,0,0,0,0
Schoolcraft Learning Community Chtr,Schoolcraft Learning Community Chtr,Beltrami,193,4,23,32,36,45,49,53,57
Crosslake Community Charter School,Crosslake Community Charter School,Crow Wing,137,0,0,0,0,0,0,0,0
Crosslake Community Charter School,Crosslake Community High School,Crow Wing,218,0,0,0,0,0,0,0,0
Riverway Learning Community Charter,Riverway Learning Community Charter,Winona,65,0,0,0,0,0,0,0,0
Riverway Learning Community Charter,Riverway Secondary,Winona,59,0,0,0,0,0,0,0,0
Aurora Charter School,Aurora Charter School,Hennepin,220,0,0,0,0,0,0,0,0
Aurora Charter School,Aurora Middle School,Hennepin,195,0,0,0,0,0,0,0,0
Excell Academy Charter,Excell Academy Charter,Hennepin,465,0,0,0,0,4,13,17,21
HOPE Community Academy,HOPE Community Academy,Ramsey,565,0,0,0,0,0,0,0,0
Academia Cesar Chavez Charter School,Academia Cesar Chavez Charter School,Ramsey,545,0,0,0,0,0,0,0,0
AFSA High School,AFSA High School,Ramsey,249,0,0,0,0,0,0,0,0
AFSA High School,AFSA Middle School,Ramsey,189,0,0,0,0,0,0,0,0
Avalon School,Avalon School,Ramsey,173,0,0,0,0,0,0,0,0
Avalon School,Avalon Middle School,Ramsey,74,0,0,0,0,0,0,0,0
Twin Cities International Schools,Minnesota International Middle Charter School,Hennepin,466,0,0,0,0,0,0,0,0
Twin Cities International Schools,Twin Cities International Schools,Hennepin,576,9,13,22,26,30,30,30,30
Friendship Academy of Fine Arts Charter,Friendship Academy of Fine Arts Charter,Hennepin,62,0,0,0,0,0,0,0,0
Friendship Academy of Fine Arts Charter,Friendship Academy of the Arts - Intermediate,Hennepin,203,0,0,0,0,0,0,0,0
Discovery Public School Faribault,Discovery Public School Faribault,Rice,57,0,0,0,0,0,0,0,0
BlueSky Charter School,BlueSky Charter School,Hennepin,603,0,0,0,0,0,0,0,0
Ridgeway Community School,Ridgeway Community School,Winona,102,0,0,0,0,0,0,0,0
North Shore Community School,North Shore Community School,Saint Louis,345,4,8,17,21,25,25,25,25
Harbor City International Charter,Harbor City International Charter,Saint Louis,204,0,0,0,0,0,0,0,0
SAGE Academy Charter School,SAGE Academy Charter School,Hennepin,78,0,0,0,0,0,0,0,0
Urban Academy Charter School,Urban Academy Charter School,Ramsey,437,0,0,0,4,8,12,21,25
New City School,New City School,Hennepin,290,0,0,0,0,0,0,0,0
Prairie Creek Community School,Prairie Creek Community School,Dakota,180,0,0,0,0,0,0,0,0
Arcadia Charter School,Arcadia Charter School,Rice,108,0,0,0,0,0,0,0,0
New Century Academy,New Century Academy,Mcleod,119,0,0,0,0,0,0,0,0
TRIO Wolf Creek Distance Learning,TRIO Wolf Creek Distance Learning,Chisago,153,0,0,0,0,0,0,0,0
Nova Classical Academy,Nova Classical Academy Lower School,Ramsey,484,0,0,0,4,23,32,36,40
Nova Classical Academy,NOVA CLASSICAL ACADEMY UPPER SCHOOL,Ramsey,526,0,0,0,0,4,8,12,21
