District,School,County,Type,Enrollment,Grades,2021/09/18,2021/10/02,2021/10/16,2021/10/30,2021/11/13,2021/11/27,2021/12/11,2021/12/25,2022/01/08,2022/01/22,2022/02/05
Osseo Public School District,North View Middle School,Hennepin,Public,406,448,0,0,0,0,0,0,0,0,5,10,10
Osseo Public School District,Park Center IB World School,Hennepin,Public,1374,7680,0,0,0,0,5,10,20,20,30,35,35
Osseo Public School District,Maple Grove Senior High,Hennepin,Public,2077,7680,20,25,25,25,30,35,40,40,50,60,60
Osseo Public School District,Maple Grove Middle School,Hennepin,Public,1331,448,0,5,10,15,25,30,35,35,45,55,55
Osseo Public School District,Woodland Elementary,Hennepin,Public,456,63,0,0,0,0,0,5,10,10,15,15,15
Osseo Public School District,Edinbrook Elementary,Hennepin,Public,488,63,0,0,0,5,10,15,20,20,25,25,25
Osseo Public School District,Rush Creek Elementary,Hennepin,Public,630,63,0,0,10,10,20,25,30,30,35,35,35
Osseo Public School District,Basswood Elementary,Hennepin,Public,746,63,0,0,0,5,25,35,40,40,40,40,40
Osseo Public School District,Birch Grove School For The Arts,Hennepin,Public,252,63,0,0,0,5,10,10,15,15,15,15,15
Osseo Public School District,Crest View Elementary,Hennepin,Public,240,63,0,0,0,0,0,0,0,0,0,0,0
Osseo Public School District,Weaver Lake Science Math & Technology School,Hennepin,Public,417,63,0,5,5,5,10,20,25,25,30,30,30
Osseo Public School District,Fair Oaks Elementary,Hennepin,Public,256,63,0,0,0,0,0,0,5,5,5,5,5
Osseo Public School District,Garden City Elementary,Hennepin,Public,223,63,0,0,0,0,0,0,0,0,5,5,5
Osseo Public School District,Palmer Lake Elementary,Hennepin,Public,286,63,0,0,0,0,0,0,5,5,10,10,10
Osseo Public School District,Park Brook Elementary,Hennepin,Public,199,63,0,0,0,0,0,0,0,0,0,0,0
Osseo Public School District,Zanewood Community School Science Technology Engineering Arts and Math,Hennepin,Public,272,63,0,0,0,0,0,5,5,5,5,5,5
Osseo Public School District,Cedar Island Elementary,Hennepin,Public,338,63,0,0,0,0,10,10,10,10,10,10,10
Osseo Public School District,Elm Creek Elementary,Hennepin,Public,366,63,0,0,0,0,0,5,10,10,10,10,10
Osseo Public School District,Rice Lake Elementary,Hennepin,Public,465,63,0,5,5,10,20,25,30,30,30,35,35
Osseo Public School District,Fernbrook Elementary,Hennepin,Public,651,63,5,10,10,15,25,25,30,30,40,45,45
Osseo Public School District,Oak View Elementary,Hennepin,Public,338,63,0,0,0,0,5,10,10,10,10,15,15
Osseo Public School District,Early Childhood Special Education,Hennepin,Public,325,1,0,0,0,0,0,0,0,0,0,0,0
Osseo Public School District,ALC Senior High,Hennepin,Public,136,7168,0,0,0,0,0,0,0,0,0,0,0
Osseo Public School District,ALC Independent Study,Hennepin,Public,1,4096,0,0,0,0,0,0,0,0,0,0,0
Osseo Public School District,Distance Learning Academy K-5,Hennepin,Public,2414,63,0,0,0,0,0,0,0,0,0,0,0
Osseo Public School District,Distance Learning Academy 6-8,Hennepin,Public,1178,448,0,0,0,0,0,0,0,0,0,0,0
Osseo Public School District,Distance Learning Academy 9-12,Hennepin,Public,1537,7680,0,0,0,0,0,0,0,0,0,0,0
Richfield Public School District,Central Education Center,Hennepin,Public,11,1,0,0,0,0,0,0,0,0,0,0,0
Richfield Public School District,Richfield Senior High,Hennepin,Public,1137,7680,5,5,5,5,5,5,15,15,25,30,30
Richfield Public School District,Richfield STEM School,Hennepin,Public,636,63,0,0,5,10,10,10,10,10,10,10,10
Richfield Public School District,Richfield Middle,Hennepin,Public,920,448,0,0,5,5,5,10,15,15,15,20,20
Richfield Public School District,Centennial Elementary,Hennepin,Public,397,63,0,0,0,0,0,0,0,0,0,0,0
Richfield Public School District,Central Education Center,Hennepin,Public,83,1,0,0,0,0,0,0,0,0,0,0,0
Richfield Public School District,Secondary Special Education,Hennepin,Public,22,4096,0,0,0,0,0,0,0,0,0,0,0
Richfield Public School District,Sheridan Hills Elementary,Hennepin,Public,410,63,0,10,10,10,15,20,25,25,25,30,30
Richfield Public School District,Richfield Dual Language School,Hennepin,Public,488,63,5,5,15,15,25,25,25,25,30,35,35
Richfield Public School District,Richfield College Experience Program,Hennepin,Public,62,7168,0,0,0,0,0,0,0,0,0,0,0
Robbinsdale Public School District,Forest Elementary,Hennepin,Public,535,63,0,0,0,0,0,0,0,0,0,0,0
Robbinsdale Public School District,Lakeview Elementary,Hennepin,Public,405,63,0,0,0,0,0,0,0,0,0,0,0
Robbinsdale Public School District,School of Engineering-Arts At Olson,Hennepin,Public,439,63,0,0,0,0,0,0,5,5,5,5,5
Robbinsdale Public School District,Meadow Lake Elementary,Hennepin,Public,502,63,0,0,0,0,0,0,0,0,0,0,0
Robbinsdale Public School District,Neill Elementary,Hennepin,Public,364,63,0,0,0,0,0,0,0,0,0,0,0
Robbinsdale Public School District,Robbinsdale Spanish Immersion El.,Hennepin,Public,725,63,0,10,15,15,20,25,25,25,25,25,25
Robbinsdale Public School District,Noble Elementary,Hennepin,Public,279,63,0,0,0,0,5,5,5,5,5,5,5
Robbinsdale Public School District,Northport Elementary,Hennepin,Public,503,63,0,0,0,0,0,0,5,5,5,5,5
Robbinsdale Public School District,FAIR School Pilgrim Lane,Hennepin,Public,367,31,0,0,0,0,0,0,0,0,0,0,0
Robbinsdale Public School District,Sonnesyn Elementary,Hennepin,Public,372,63,0,0,0,0,0,0,0,0,0,0,0
Robbinsdale Public School District,Zachary Lane Elementary,Hennepin,Public,446,63,0,0,0,0,0,5,5,5,5,5,5
Robbinsdale Public School District,Plymouth Middle,Hennepin,Public,1006,448,0,0,5,5,5,5,10,10,10,10,10
Robbinsdale Public School District,Robbinsdale Middle,Hennepin,Public,791,448,0,0,0,0,0,5,5,5,5,5,5
Robbinsdale Public School District,Sandburg Middle School,Hennepin,Public,583,448,0,0,0,0,0,0,5,5,5,5,5
Robbinsdale Public School District,Robbinsdale Cooper Senior High,Hennepin,Public,1694,7680,5,15,20,25,30,30,30,35,35,35,35
Robbinsdale Public School District,Robbinsdale Armstrong Senior High,Hennepin,Public,1926,7680,5,5,10,10,10,15,25,30,30,30,30
Robbinsdale Public School District,Robbinsdale Shared Time Program,Hennepin,Public,5,273,0,0,0,0,0,0,0,0,0,0,0
Robbinsdale Public School District,Early Childhood Special Education,Hennepin,Public,175,7,0,0,0,0,0,0,0,0,0,0,0
Robbinsdale Public School District,Phoenix School,Hennepin,Public,15,7936,0,0,0,0,0,0,0,0,0,0,0
Robbinsdale Public School District,Robbinsdale Transition Center,Hennepin,Public,67,4096,0,0,0,0,0,0,0,0,0,0,0
Robbinsdale Public School District,Highview ALC,Hennepin,Public,223,7680,0,0,0,0,0,0,0,0,0,0,0
Robbinsdale Public School District,Robbinsdale Virtual Academy,Hennepin,Public,48,7936,0,0,0,0,0,0,0,0,0,0,0
Robbinsdale Public School District,The FAIR School - Crystal,Hennepin,Public,222,480,0,0,0,0,0,0,0,0,0,0,0
St. Anthony-New Brighton Schools,St. Anthony Village Senior High,Hennepin,Public,673,7680,0,0,0,5,5,5,5,5,15,15,15
St. Anthony-New Brighton Schools,Wilshire Park Elementary,Hennepin,Public,656,63,0,0,0,5,10,15,15,15,20,20,20
St. Anthony-New Brighton Schools,St. Anthony Middle,Hennepin,Public,422,448,0,0,0,0,0,0,0,0,5,5,5
St. Louis Park Public School District,St. Louis Park Senior High,Hennepin,Public,1467,7680,0,0,5,5,10,20,20,25,35,45,45
St. Louis Park Public School District,St. Louis Park Middle School,Hennepin,Public,1001,448,0,0,0,5,10,15,20,25,35,40,40
St. Louis Park Public School District,Aquila Elementary,Hennepin,Public,538,63,0,0,0,0,5,5,5,5,5,10,10
St. Louis Park Public School District,Peter Hobart Elementary,Hennepin,Public,493,63,5,15,15,20,20,25,25,25,25,25,25
St. Louis Park Public School District,Susan Lindgren Elementary,Hennepin,Public,444,63,0,0,0,5,5,10,10,10,10,20,20
St. Louis Park Public School District,St. Louis Park Special Ed. Program,Hennepin,Public,103,7,0,0,0,0,0,0,0,0,0,0,0
St. Louis Park Public School District,Special Ed.,Hennepin,Public,12,4096,0,0,0,0,0,0,0,0,0,0,0
St. Louis Park Public School District,Park Spanish Immersion Elementary,Hennepin,Public,518,63,0,0,0,0,0,0,0,0,5,10,15
St. Louis Park Public School District,Melrose,Hennepin,Public,5,7168,0,0,0,0,0,0,0,0,0,0,0
Wayzata Public School District,Wayzata Transition School,Hennepin,Public,32,4096,0,0,0,0,0,0,0,0,0,0,0
Wayzata Public School District,The Alternative Program (TAP),Hennepin,Public,176,7680,0,0,0,0,0,0,0,0,0,0,0
Wayzata Public School District,Wayzata High,Hennepin,Public,3502,7680,10,15,15,20,25,35,45,50,50,50,50
Wayzata Public School District,Wayzata West Middle,Hennepin,Public,720,448,0,0,0,0,0,0,5,5,5,5,5
Wayzata Public School District,Wayzata East Middle,Hennepin,Public,651,448,0,0,0,0,0,0,5,5,5,5,5
Wayzata Public School District,Wayzata Central Middle,Hennepin,Public,1363,448,0,0,0,0,10,15,25,30,30,30,30
Wayzata Public School District,North Woods Elementary School,Hennepin,Public,600,63,0,0,5,10,15,20,25,30,35,35,35
Wayzata Public School District,Meadow Ridge Elementary School,Hennepin,Public,765,63,0,5,5,5,10,10,10,10,10,10,10
Wayzata Public School District,Birchview Elementary,Hennepin,Public,413,63,0,0,0,0,0,0,0,0,0,0,0
Wayzata Public School District,Greenwood Elementary,Hennepin,Public,721,63,0,0,10,15,20,20,25,25,25,25,25
Wayzata Public School District,Oakwood Elementary,Hennepin,Public,458,63,0,0,0,0,0,0,0,0,0,0,0
Wayzata Public School District,Sunset Hill Elementary,Hennepin,Public,618,63,0,0,0,0,20,25,25,25,25,25,25
Wayzata Public School District,Early Childhood Special Education,Hennepin,Public,143,1,0,0,0,0,0,0,0,0,0,0,0
Wayzata Public School District,Plymouth Creek Elementary,Hennepin,Public,624,63,0,0,0,0,5,10,10,10,10,10,10
Wayzata Public School District,Gleason Lake Elementary,Hennepin,Public,600,63,0,0,0,0,0,0,0,0,0,0,0
Wayzata Public School District,Kimberly Lane Elementary,Hennepin,Public,571,63,0,0,0,0,0,0,5,5,5,5,5
Wayzata Public School District,East Middle Alternative (EMAP),Hennepin,Public,25,448,0,0,0,0,0,0,0,0,0,0,0
Wayzata Public School District,Central Middle Alternative (CMAP),Hennepin,Public,31,384,0,0,0,0,0,0,0,0,0,0,0
Brooklyn Center School District,Early Childhood Special Education (Birth - Age 2),Hennepin,Public,18,1,0,0,0,0,0,0,0,0,0,0,0
Brooklyn Center School District,Brooklyn Center Middle School,Hennepin,Public,368,448,0,0,0,5,5,5,5,5,5,5,5
Brooklyn Center School District,Brooklyn Center High School,Hennepin,Public,528,7680,0,0,0,0,0,0,0,0,0,0,0
Brooklyn Center School District,Brooklyn Center ECSE Age 3 - 5,Hennepin,Public,12,1,0,0,0,0,0,0,0,0,0,0,0
Brooklyn Center School District,Insight School of Minnesota,Hennepin,Public,496,8128,0,0,0,0,0,0,0,0,0,0,0
Brooklyn Center School District,Brooklyn Center Elementary School,Hennepin,Public,848,63,0,10,10,10,10,10,15,15,15,20,20
Brooklyn Center School District,Brooklyn Center Early College Academy,Hennepin,Public,63,7168,0,0,0,0,0,0,0,0,0,0,0
Intermediate School District 287,Tier One,Hennepin,Public,21,4096,0,0,0,0,0,0,0,0,0,0,0
Intermediate School District 287,Tier Two,Hennepin,Public,278,8190,0,0,0,0,0,0,0,0,0,0,0
Intermediate School District 287,Tier Three,Hennepin,Public,194,8191,0,0,0,0,0,0,0,0,0,0,0
Intermediate School District 287,Epsilon,Hennepin,Public,19,7680,0,0,0,0,0,0,0,0,0,0,0
Intermediate School District 287,OMEGON,Hennepin,Public,32,8064,0,0,0,0,0,0,0,0,0,0,0
Intermediate School District 287,Headway Academy,Hennepin,Public,31,8064,0,0,0,0,0,0,0,0,0,0,0
Intermediate School District 287,Fairview,Hennepin,Public,4,5632,0,0,0,0,0,0,0,0,0,0,0
Intermediate School District 287,PraIrie Care Brooklyn Park Day Program,Hennepin,Public,22,8084,0,0,0,0,0,0,0,0,0,0,0
Intermediate School District 287,Prairie Care Brooklyn Park - IHP,Hennepin,Public,45,8177,0,0,0,0,0,0,0,0,0,0,0
Intermediate School District 287,Prairie Care Edina - PHP,Hennepin,Public,26,8186,0,0,0,0,0,0,0,0,0,0,0
Intermediate School District 287,Paragon Academy,Hennepin,Public,5,3968,0,0,0,0,0,0,0,0,0,0,0
Intermediate School District 287,West Academy,Hennepin,Public,11,7680,0,0,0,0,0,0,0,0,0,0,0
Intermediate School District 287,Headway Academy North,Hennepin,Public,26,7936,0,0,0,0,0,0,0,0,0,0,0
Intermediate School District 287,South Education Center Academy,Hennepin,Public,71,7168,0,0,0,0,0,0,0,0,0,0,0
Intermediate School District 287,North Education Center Academy,Hennepin,Public,52,7680,0,0,0,0,0,0,0,0,5,10,10
Intermediate School District 287,West Education Center Alternative,Hennepin,Public,82,7680,0,0,0,0,0,0,0,0,0,0,0
Intermediate School District 287,Hennepin Gateway To College,Hennepin,Public,64,6144,0,0,0,0,0,0,0,0,0,0,0
Southwest Metro Intermediate 288,SW Shakopee Special Ed,Scott,Public,42,4096,0,0,0,0,0,0,0,0,0,0,0
Southwest Metro Intermediate 288,SW Metro Level 4 Programs,Scott,Public,164,8191,0,0,0,0,0,0,0,0,0,0,0
Southwest Metro Intermediate 288,SW Metro ALC,Carver,Public,87,7680,0,0,0,0,0,0,0,0,0,0,0
Southwest Metro Intermediate 288,SW Metro CCJ,Carver,Public,2,2560,0,0,0,0,0,0,0,0,0,0,0
Southwest Metro Intermediate 288,SW Metro Independent Study,Carver,Public,3,4096,0,0,0,0,0,0,0,0,0,0,0
Southwest Metro Intermediate 288,SW Metro Online Learning,Carver,Public,10,4096,0,0,0,0,0,0,0,0,0,0,0
Southwest Metro Intermediate 288,SW Metro Day Treatment,Scott,Public,19,8064,0,0,0,0,0,0,0,0,0,0,0
Southwest Metro Intermediate 288,Passageways,Scott,Public,2,2048,0,0,0,0,0,0,0,0,0,0,0
Southwest Metro Intermediate 288,Prairie Care,Carver,Public,12,3044,0,0,0,0,0,0,0,0,0,0,0
Southwest Metro Intermediate 288,The Annica Program,Carver,Public,4,5376,0,0,0,0,0,0,0,0,0,0,0
Southwest Metro Intermediate 288,SW Metro Waseca,Waseca,Public,14,8096,0,0,0,0,0,0,0,0,0,0,0
Southwest Metro Intermediate 288,Lakeside Academy,Wright,Public,18,7680,0,0,0,0,0,0,0,0,0,0,0
Southwest Metro Intermediate 288,SW Metro JAF,Scott,Public,8,6912,0,0,0,0,0,0,0,0,0,0,0
Houston Public School District,Summit Learning Program,Houston,Public,25,7680,0,0,0,0,0,0,0,0,0,0,0
Houston Public School District,Houston Elementary,Houston,Public,225,127,0,0,0,0,0,0,0,5,5,5,5
Houston Public School District,Minnesota Virtual Academy,Houston,Public,2231,8191,0,0,0,0,0,0,0,0,0,0,0
Houston Public School District,Houston Secondary,Houston,Public,212,8064,5,5,5,5,5,5,10,10,10,20,20
Spring Grove School District,Spring Grove Elementary,Houston,Public,183,127,0,0,0,0,0,0,0,0,0,0,0
Spring Grove School District,Spring Grove Secondary,Houston,Public,175,8064,10,10,10,10,10,10,10,10,10,10,10
Caledonia Public School District,Caledonia Elementary,Houston,Public,266,63,5,5,5,5,5,5,5,5,5,5,5
Caledonia Public School District,Caledonia Middle,Houston,Public,179,448,0,0,0,0,0,0,0,0,0,0,0
Caledonia Public School District,Caledonia Senior High,Houston,Public,282,7680,0,0,0,0,0,5,5,5,5,5,5
La Crescent-Hokah School District,La Crescent-Hokah Elementary,Houston,Public,361,31,0,0,0,0,5,5,5,10,10,10,10
La Crescent-Hokah School District,La Crescent Senior High,Houston,Public,393,7680,0,0,0,0,0,0,0,0,5,5,5
La Crescent-Hokah School District,LA CRESCENT-HOKAH MIDDLE SCHOOL,Houston,Public,326,480,0,0,0,0,0,0,0,0,5,5,5
Laporte Public School District,Laporte Elementary,Hubbard,Public,175,63,0,0,0,0,0,0,0,0,0,0,0
Laporte Public School District,Laporte Secondary,Hubbard,Public,89,7680,0,0,0,0,0,0,0,0,0,0,0
Laporte Public School District,Laporte Middle School,Hubbard,Public,88,448,0,0,0,0,0,0,0,0,0,0,0
Nevis Public School District,Nevis Elementary,Hubbard,Public,325,127,5,10,10,15,15,15,15,15,15,15,15
Nevis Public School District,Nevis Secondary,Hubbard,Public,274,8064,0,0,5,10,10,10,10,10,10,10,10
Park Rapids Public School District,Frank White Education Center,Hubbard,Public,74,1,0,0,0,0,0,0,0,0,0,0,0
Park Rapids Public School District,Park Rapids Area Century Elementary,Hubbard,Public,620,31,5,10,15,15,15,20,20,20,20,20,20
Park Rapids Public School District,Park Rapids Senior High,Hubbard,Public,458,7680,0,10,15,15,15,15,15,15,15,20,20
Park Rapids Public School District,Park Rapids Area Century Middle,Hubbard,Public,504,480,0,0,5,5,10,10,10,10,10,20,20
Park Rapids Public School District,Century Middle School Within A School,Hubbard,Public,2,32,0,0,0,0,0,0,0,0,0,0,0
Park Rapids Public School District,HEADWATERS EDUC LEARNING PROGRAM,Hubbard,Public,28,7168,0,0,0,0,0,0,0,0,0,0,0
Braham Public School District,Braham Area Secondary,Isanti,Public,338,8064,0,0,0,0,0,0,0,0,0,0,0
Braham Public School District,Braham Elementary,Isanti,Public,409,127,0,0,0,0,0,5,5,5,5,5,5
Greenway Public School District,Vandyke Elementary,Itasca,Public,428,31,0,0,0,0,10,10,10,10,10,10,10
Greenway Public School District,Marble Early Childhood Center,Itasca,Public,30,1,0,0,0,0,0,0,0,0,0,0,0
Greenway Public School District,Greenway Middle,Itasca,Public,320,480,0,0,0,0,0,0,0,0,0,0,0
Greenway Public School District,Greenway Senior High,Itasca,Public,292,7680,0,0,0,0,5,5,5,5,5,5,5
Deer River Public School District,Deer River Secondary,Itasca,Public,448,8128,0,0,5,5,5,5,5,5,5,5,5
Deer River Public School District,King Elementary,Itasca,Public,456,63,0,0,0,0,0,0,0,0,0,0,0
Deer River Public School District,Deer River Schools SPED,Itasca,Public,5,50,0,0,0,0,0,0,0,0,0,0,0
Deer River Public School District,Deer River High School ALP,Itasca,Public,8,6144,0,0,0,0,0,0,0,0,0,0,0
Grand Rapids Public School District,Grand Rapids Early Childhood Center,Itasca,Public,95,1,0,0,0,0,0,0,0,0,0,0,0
Grand Rapids Public School District,Cohasset Elementary,Itasca,Public,261,63,0,0,5,5,10,10,10,10,10,10,10
Grand Rapids Public School District,Bigfork Elementary,Itasca,Public,151,127,5,5,5,5,5,5,5,5,5,5,5
Grand Rapids Public School District,East Rapids Elementary,Itasca,Public,591,63,0,0,5,10,20,20,20,25,25,25,25
Grand Rapids Public School District,West Rapids Elementary,Itasca,Public,562,63,0,0,5,10,10,15,15,15,15,15,15
Grand Rapids Public School District,ITASKIN EDUCATION CENTER,Itasca,Public,39,8144,0,0,0,0,0,0,0,0,0,0,0
Grand Rapids Public School District,Bigfork Secondary,Itasca,Public,128,8064,10,20,20,20,20,20,20,20,20,20,20
Grand Rapids Public School District,Grand Rapids Senior High,Itasca,Public,1142,7680,0,20,25,30,50,55,60,65,65,70,70
Grand Rapids Public School District,GRAND RAPIDS AREA LEARNING CENTER,Itasca,Public,106,7168,0,0,0,0,0,0,0,0,0,0,0
Grand Rapids Public School District,Robert J. Elkington Middle School,Itasca,Public,788,448,0,10,20,25,35,35,40,40,40,45,45
Grand Rapids Public School District,Middle Area Learning Center,Itasca,Public,101,448,0,0,0,0,0,0,0,0,0,0,0
Nashwauk-Keewatin School District,Keewatin-Nashwauk Elementary School,Itasca,Public,316,127,0,5,5,5,15,15,20,20,20,25,25
Nashwauk-Keewatin School District,Nashwauk Secondary,Itasca,Public,277,8064,0,5,10,10,15,15,15,15,15,15,15
Nashwauk-Keewatin School District,Nashwauk-Keewatin ALP,Itasca,Public,4,6144,0,0,0,0,0,0,0,0,0,0,0
Heron Lake-Okabena School District,Heron Lake-Okabena Elementary,Jackson,Public,136,127,0,0,0,0,0,0,0,0,0,0,0
Heron Lake-Okabena School District,Heron Lake-Okabena Secondary,Jackson,Public,184,8064,0,5,5,5,5,5,5,5,5,5,5
Mora Public School District,Mora Elementary School,Kanabec,Public,799,127,0,0,0,0,10,30,35,35,35,35,35
Mora Public School District,Mora Secondary,Kanabec,Public,712,8064,0,10,20,20,25,30,35,35,35,35,35
Mora Public School District,MORA ALTERNATIVE LEARNING CENTER,Kanabec,Public,53,7168,0,0,0,0,0,0,0,0,0,0,0
Mora Public School District,Mora Middle Level ALC,Kanabec,Public,10,128,0,0,0,0,0,0,0,0,0,0,0
Ogilvie Public School District,Ogilvie Elementary,Kanabec,Public,216,63,0,0,0,0,5,10,10,10,10,10,10
Ogilvie Public School District,Ogilvie Secondary,Kanabec,Public,268,8128,0,0,0,0,5,5,5,5,5,5,5
Ogilvie Public School District,LION Program - Alternative Education,Kanabec,Public,1,4096,0,0,0,0,0,0,0,0,0,0,0
New London-Spicer School District,Prairie Woods Elementary,Kandiyohi,Public,553,31,0,10,15,20,20,20,20,20,20,20,20
New London-Spicer School District,Prairie Meadows Learning Center,Kandiyohi,Public,12,1,0,0,0,0,0,0,0,0,0,0,0
New London-Spicer School District,New London-Spicer Middle,Kandiyohi,Public,485,480,0,0,0,0,0,0,0,0,0,0,0
New London-Spicer School District,New London-Spicer Sr.,Kandiyohi,Public,448,7680,0,0,0,0,0,0,0,0,0,0,0
New London-Spicer School District,New London Alternative School,Kandiyohi,Public,17,6144,0,0,0,0,0,0,0,0,0,0,0
Willmar Public School District,Roosevelt Elementary,Kandiyohi,Public,599,63,0,5,10,20,30,30,30,30,30,30,30
Willmar Public School District,Kennedy Elementary,Kandiyohi,Public,737,63,0,20,40,45,50,50,55,55,55,55,55
Willmar Public School District,Lakeland Elementary School,Kandiyohi,Public,559,63,0,0,10,15,20,25,25,25,25,25,25
Willmar Public School District,Willmar Senior High,Kandiyohi,Public,1296,7680,5,25,45,55,65,65,75,80,80,80,80
Willmar Public School District,Willmar Middle School,Kandiyohi,Public,904,448,0,5,15,25,45,50,55,55,55,55,55
Willmar Public School District,Lakeview School,Kandiyohi,Public,5,5632,0,0,0,0,0,0,0,0,0,0,0
Willmar Public School District,Prairie Lakes Education Center,Kandiyohi,Public,32,7936,0,0,0,0,0,0,0,0,0,0,0
Willmar Public School District,Lake Park School,Kandiyohi,Public,21,8160,0,0,0,0,0,0,0,0,0,0,0
Willmar Public School District,Middle School ALC,Kandiyohi,Public,3,256,0,0,0,0,0,0,0,0,0,0,0
Willmar Public School District,Willmar Area Learning Center,Kandiyohi,Public,96,7680,0,0,0,5,5,5,5,5,5,5,5
Lancaster Public School District,Lancaster Elementary,Kittson,Public,115,127,0,0,0,0,0,0,0,0,0,0,0
Lancaster Public School District,Lancaster Secondary,Kittson,Public,77,8064,0,0,0,0,0,0,0,0,0,0,0
International Falls School District,Falls Secondary,Koochiching,Public,526,8128,5,5,5,10,20,25,25,25,25,30,30
International Falls School District,Falls Elementary,Koochiching,Public,407,63,10,10,10,10,15,20,25,25,25,30,30
Littlefork-Big Falls School Dist.,Littlefork-Big Falls Elementary,Koochiching,Public,152,127,10,15,15,15,15,15,15,20,20,20,20
Littlefork-Big Falls School Dist.,Littlefork-Big Falls Secondary,Koochiching,Public,148,8064,0,5,5,5,5,5,5,5,5,5,5
South Koochiching School District,Indus Secondary,Koochiching,Public,51,8064,0,0,0,0,0,0,0,0,0,0,0
South Koochiching School District,Northome Secondary,Koochiching,Public,78,8064,0,0,0,0,0,0,0,0,0,0,0
South Koochiching School District,Northome Elementary,Koochiching,Public,115,127,0,5,5,5,5,5,5,5,5,5,5
South Koochiching School District,Indus Elementary,Koochiching,Public,52,127,0,0,0,0,0,0,0,0,0,0,0
Dawson-Boyd Public School District,Stevens Elementary,Lac qui Parle,Public,287,127,0,0,0,5,5,10,10,10,10,15,15
Dawson-Boyd Public School District,Dawson-Boyd Secondary,Lac qui Parle,Public,273,8064,0,0,5,5,5,5,5,5,5,10,10
Lake Superior Public School Dist.,William Kelley Elementary,Lake,Public,162,127,0,0,0,0,0,0,0,0,0,0,0
Lake Superior Public School Dist.,Minnehaha Elementary,Lake,Public,399,63,0,5,5,5,5,5,5,5,5,10,10
Lake Superior Public School Dist.,Wm. M. Kelley Secondary,Lake,Public,150,8064,0,0,0,0,0,0,0,0,0,0,0
Lake Superior Public School Dist.,Two Harbors Secondary,Lake,Public,634,8128,0,0,0,0,0,0,5,5,5,5,5
Lake of The Woods School District,Lake of The Woods Secondary,Lake of the Woods,Public,211,8064,0,0,5,5,5,5,5,5,5,5,5
Lake of The Woods School District,Lake of The Woods Elementary,Lake of the Woods,Public,246,127,10,10,10,10,15,15,15,15,15,15,15
Cleveland Public School District,Cleveland Elementary,Lesueur,Public,272,127,0,5,5,5,5,10,15,15,15,15,15
Cleveland Public School District,Cleveland Secondary,Lesueur,Public,246,8064,0,0,0,0,0,0,0,0,0,0,0
Lake Agassiz Education Cooperative,Lake Agassiz Education Cooperative,Clay,Public,41,1,0,0,0,0,0,0,0,0,0,0,0
Lake Agassiz Education Cooperative,Intensive Interagency Program,Clay,Public,8,7552,0,0,0,0,0,0,0,0,0,0,0
Lake Agassiz Education Cooperative,Glacial Ridge Transitional Skills Program,Clay,Public,12,5888,0,0,0,0,0,0,0,0,0,0,0
Midwest Special Education Coop.,Midwest Special Education Coop.,Stevens,Public,18,1,0,0,0,0,0,0,0,0,0,0,0
Hendricks Public School District,Hendricks Elementary,Lincoln,Public,79,127,0,0,0,0,0,0,0,0,0,0,0
Hendricks Public School District,Hendricks Senior High,Lincoln,Public,41,8064,0,0,0,0,0,0,0,0,0,0,0
Hendricks Public School District,MNVSS,Lincoln,Public,25,8064,0,0,0,0,0,0,0,0,0,0,0
Hendricks Public School District,Hendricks Preschool,Lincoln,Public,5,1,0,0,0,0,0,0,0,0,0,0,0
Ivanhoe Public School District,Lincoln Elementary - Ivanhoe,Lincoln,Public,89,127,0,0,0,0,0,0,0,0,0,0,0
Lake Benton Public School District,Lake Benton Elementary,Lincoln,Public,137,127,0,0,0,0,0,0,0,0,0,0,0
Lake Benton Public School District,Lake Benton Secondary,Lincoln,Public,1,128,0,0,0,0,0,0,0,0,0,0,0
Marshall Public School District,Marshall High School,Lyon,Public,837,7680,5,10,10,10,10,20,20,20,25,35,35
Marshall Public School District,Park Side Elementary,Lyon,Public,535,7,0,0,0,0,0,0,0,0,0,5,5
Marshall Public School District,West Side Elementary,Lyon,Public,348,24,0,0,10,10,10,10,10,10,10,10,10
Marshall Public School District,Marshall Middle School,Lyon,Public,726,480,0,0,0,0,10,10,10,15,15,20,20
Marshall Public School District,MATEC,Lyon,Public,51,7680,0,0,0,0,0,0,0,0,0,0,0
Marshall Public School District,Marshall Learning Center,Lyon,Public,1,4096,0,0,0,0,0,0,0,0,0,0,0
Marshall Public School District,Marshall Early Childhood Voluntary PreK,Lyon,Public,95,1,0,0,0,0,0,0,0,0,0,0,0
Minneota Public School District,Minneota Elementary,Lyon,Public,238,127,10,20,20,20,20,20,20,20,20,20,20
Minneota Public School District,Minneota Secondary,Lyon,Public,285,8064,10,10,10,10,10,10,10,10,10,10,10
Lynd Public School District,Lynd Elementary,Lyon,Public,119,31,0,0,0,0,0,0,0,0,0,0,0
Lynd Public School District,Lynd Middle School,Lyon,Public,46,480,0,0,0,0,0,0,0,0,0,0,0
Hutchinson Public School District,Hutchinson Park Elementary,Mcleod,Public,762,60,5,5,10,15,25,35,40,40,40,45,45
Hutchinson Public School District,Hutchinson Middle,Mcleod,Public,596,448,10,10,10,15,25,30,30,30,30,40,40
Hutchinson Public School District,Hutchinson Senior High,Mcleod,Public,927,7680,5,10,15,20,30,40,40,40,45,55,55
