District,School,County,Type,Enrollment,Grades,2021/09/18,2021/10/02,2021/10/16,2021/10/30,2021/11/13,2021/11/27,2021/12/11,2021/12/25,2022/01/08,2022/01/22,2022/02/05
Minneapolis Public School District,ECSE,Hennepin,Public,419,1,0,0,0,0,0,0,0,0,0,0,0
Minneapolis Public School District,Andersen Community,Hennepin,Public,747,511,0,0,0,0,0,0,5,5,10,10,10
Minneapolis Public School District,Sullivan Elementary,Hennepin,Public,497,511,0,0,0,0,0,0,0,0,0,0,0
Minneapolis Public School District,Webster Elementary,Hennepin,Public,315,63,0,0,0,0,0,0,0,0,0,0,0
Minneapolis Public School District,Anishinabe Academy,Hennepin,Public,205,63,0,0,0,5,5,5,5,5,5,5,5
Minneapolis Public School District,Marcy Open Elementary,Hennepin,Public,669,511,5,5,5,5,5,5,5,5,5,5,5
Minneapolis Public School District,Prekindergarten North,Hennepin,Public,6,1,0,0,0,0,0,0,0,0,0,0,0
Minneapolis Public School District,Prekindergarten South,Hennepin,Public,2,1,0,0,0,0,0,0,0,0,0,0,0
Minneapolis Public School District,Bryn Mawr Elementary,Hennepin,Public,291,63,0,0,0,0,0,0,0,0,0,0,0
Minneapolis Public School District,Green Central Park Elementary,Hennepin,Public,328,63,0,0,0,0,10,15,15,15,15,15,15
Minneapolis Public School District,Emerson Elementary,Hennepin,Public,450,63,0,0,0,0,0,5,5,5,5,5,5
Minneapolis Public School District,Lucy Laney @ Cleveland Park Elem,Hennepin,Public,459,63,0,0,0,0,0,0,0,0,0,0,0
Minneapolis Public School District,Hall International,Hennepin,Public,208,63,0,0,0,0,0,0,0,0,0,0,0
Minneapolis Public School District,Nellie Stone Johnson Elementary,Hennepin,Public,368,63,0,0,0,0,0,0,0,0,0,0,0
Minneapolis Public School District,Whittier International,Hennepin,Public,447,63,0,0,0,0,0,0,0,0,0,0,0
Minneapolis Public School District,Hmong International Academy,Hennepin,Public,489,511,5,5,5,5,5,5,5,5,5,5,5
Minneapolis Public School District,Cityview Community,Hennepin,Public,282,63,0,0,0,0,0,0,0,0,0,0,0
Minneapolis Public School District,Anthony Middle School,Hennepin,Public,693,448,0,10,15,15,20,20,20,20,25,25,25
Minneapolis Public School District,Anwatin Middle Com & Spanish D I,Hennepin,Public,548,448,0,0,0,0,0,0,0,0,0,0,0
Minneapolis Public School District,Northeast Middle,Hennepin,Public,455,448,0,0,0,0,0,0,0,0,0,0,0
Minneapolis Public School District,Olson Middle,Hennepin,Public,390,448,0,0,0,0,0,0,0,0,0,0,0
Minneapolis Public School District,Justice Page Middle School,Hennepin,Public,799,448,0,0,5,5,5,5,10,10,10,10,10
Minneapolis Public School District,Sanford Middle,Hennepin,Public,933,448,5,5,10,10,10,10,10,10,15,15,15
Minneapolis Public School District,Franklin Middle School,Hennepin,Public,326,448,0,0,0,0,0,0,0,0,0,0,0
Minneapolis Public School District,MACC,Hennepin,Public,21,6144,0,0,0,0,0,0,0,0,0,0,0
Minneapolis Public School District,FAIR Senior High,Hennepin,Public,284,7680,0,0,0,0,0,0,0,0,0,0,0
Minneapolis Public School District,MERC,Hennepin,Public,57,7680,0,0,0,0,0,0,0,0,0,0,0
Minneapolis Public School District,Loring-Nicollet High,Hennepin,Public,55,6144,0,0,0,0,0,0,0,0,0,0,0
