0011-01-411,Anoka-Hennepin Public School District,McKinley Elementary,Anoka,569
0011-01-412,Anoka-Hennepin Public School District,Mississippi Elementary,Anoka,368
0011-01-413,Anoka-Hennepin Public School District,Monroe Elementary,Hennepin,551
0011-01-414,Anoka-Hennepin Public School District,Morris Bye Elementary,Anoka,481
0011-01-417,Anoka-Hennepin Public School District,Sand Creek Elementary,Anoka,586
0011-01-418,Anoka-Hennepin Public School District,University Elementary,Anoka,642
0011-01-420,Anoka-Hennepin Public School District,Wilson Elementary,Anoka,490
0011-01-421,Anoka-Hennepin Public School District,Evergreen Park Elementary,Hennepin,461
0011-01-422,Anoka-Hennepin Public School District,Eisenhower Elementary,Anoka,469
0011-01-423,Anoka-Hennepin Public School District,Ramsey Elementary,Anoka,641
0011-01-424,Anoka-Hennepin Public School District,Dayton Elementary,Hennepin,511
0011-01-425,Anoka-Hennepin Public School District,Oxbow Creek Elementary,Hennepin,1062
0011-01-426,Anoka-Hennepin Public School District,Andover Elementary,Anoka,1138
0011-01-427,Anoka-Hennepin Public School District,Rum River Elementary,Anoka,736
0011-01-430,Anoka-Hennepin Public School District,Champlin/Brooklyn Park Academy for Math and Environmental Science,Hennepin,738
0011-01-431,Anoka-Hennepin Public School District,Sunrise Elementary,Anoka,996
0011-01-432,Anoka-Hennepin Public School District,Brookside Elementary,Anoka,742
0011-01-434,Anoka-Hennepin Public School District,Anoka-Hennepin Technical High School,Anoka,170
0011-01-436,Anoka-Hennepin Public School District,Bridges,Anoka,76
0011-01-437,Anoka-Hennepin Public School District,Early Childhood/Special Education,Anoka,862
0011-01-464,Anoka-Hennepin Public School District,Anthony Louis House,Anoka,4
0011-01-467,Anoka-Hennepin Public School District,River Trail Learning Center at LO Jacob,Anoka,227
0011-01-468,Anoka-Hennepin Public School District,Pathways,Anoka,131
0011-01-680,Anoka-Hennepin Public School District,Compass On-Line,Anoka,9
0011-01-812,Anoka-Hennepin Public School District,Compass-Bell Center,Anoka,6
0011-01-898,Anoka-Hennepin Public School District,STEP Ahead High School,Anoka,141
0012-01-158,Centennial Public School District,Pines School - ACS,Anoka,18
0012-01-159,Centennial Public School District,Pines School - NSP,Anoka,16
0012-01-161,Centennial Public School District,Pines School - RJC,Anoka,16
0012-01-162,Centennial Public School District,Pines School Day Program,Anoka,7
0012-01-164,Centennial Public School District,Centennial High School,Anoka,2006
0012-01-166,Centennial Public School District,Centennial Middle,Anoka,1569
0012-01-167,Centennial Public School District,Centennial Area Learning Center,Anoka,45
0012-01-170,Centennial Public School District,CALC Transition,Anoka,24
0012-01-171,Centennial Public School District,Project Search,Anoka,10
0012-01-510,Centennial Public School District,Centennial Elementary,Anoka,526
0012-01-511,Centennial Public School District,Centerville Elementary,Anoka,517
0012-01-512,Centennial Public School District,Golden Lake Elementary,Anoka,396
0012-01-513,Centennial Public School District,Rice Lake Elementary,Anoka,624
0012-01-514,Centennial Public School District,Early Childhood Center,Anoka,110
0012-01-515,Centennial Public School District,Blue Heron Elementary,Anoka,775
0013-01-016,Columbia Heights Public School District,Columbia Heights Senior High,Anoka,1003
0013-01-017,Columbia Heights Public School District,Columbia Academy,Anoka,696
0013-01-515,Columbia Heights Public School District,Highland Elementary,Anoka,523
0013-01-517,Columbia Heights Public School District,North Park Elementary,Anoka,391
0013-01-520,Columbia Heights Public School District,Valley View Elementary,Anoka,460
0013-01-810,Columbia Heights Public School District,Columbia Academy Anchor Program,Anoka,4
0013-01-813,Columbia Heights Public School District,Early Childhood,Anoka,50
0013-01-815,Columbia Heights Public School District,Columbia Heights Transition Program,Anoka,9
0013-01-860,Columbia Heights Public School District,Anchor,Anoka,6
0014-01-006,Fridley Public School District,Voluntary Prekindergarten School,Anoka,109
0014-01-022,Fridley Public School District,Fridley Senior High,Anoka,916
0014-01-023,Fridley Public School District,Fridley Middle,Anoka,826
0014-01-546,Fridley Public School District,Hayes Elementary,Anoka,479
0014-01-549,Fridley Public School District,Early Childhood Special Education School,Anoka,26
0014-01-550,Fridley Public School District,Stevenson Elementary,Anoka,472
0014-01-551,Fridley Public School District,Transitions School,Anoka,2
0014-01-552,Fridley Public School District,Fridley Moore Lake Area Learning Center,Anoka,76
0014-01-652,Fridley Public School District,Fridley Middle Area Learning Center,Anoka,8
0015-01-015,St. Francis Area Schools,Saints Online,Anoka,129
0015-01-016,St. Francis Area Schools,Saints Guided Studies,Anoka,1
0015-01-018,St. Francis Area Schools,Saints Academy,Anoka,175
0015-01-122,St. Francis Area Schools,St. Francis High,Anoka,1214
0015-01-123,St. Francis Area Schools,St. Francis Middle,Anoka,828
0015-01-140,St. Francis Area Schools,Transition 15,Anoka,17
0015-01-780,St. Francis Area Schools,ECSE@ ISD 15 Lifelong Learning,Anoka,111
0015-01-782,St. Francis Area Schools,St. Francis Elementary,Anoka,599
0015-01-784,St. Francis Area Schools,Cedar Creek Elementary School,Anoka,658
0015-01-848,St. Francis Area Schools,East Bethel Elementary School,Anoka,495
0015-01-856,St. Francis Area Schools,Crossroads School,Anoka,7
0016-01-045,Spring Lake Park Public Schools,Spring Lake Park Senior High,Anoka,1850
0016-01-046,Spring Lake Park Public Schools,Early Education,Anoka,83
0016-01-092,Spring Lake Park Public Schools,Westwood Intermediate and Middle School,Anoka,1866
0016-01-772,Spring Lake Park Public Schools,Northpoint Elementary,Anoka,552
0016-01-774,Spring Lake Park Public Schools,Woodcrest Elementary Spanish Immersion,Anoka,534
0016-01-775,Spring Lake Park Public Schools,Park Terrace Elementary,Anoka,568
0016-01-776,Spring Lake Park Public Schools,Centerview Elementary,Anoka,639
0016-01-780,Spring Lake Park Public Schools,Distance Learning Indep Study,Anoka,1
0016-01-787,Spring Lake Park Public Schools,Elementary Lighthouse,Anoka,36
0016-01-788,Spring Lake Park Public Schools,Secondary Lighthouse,Anoka,40
0022-01-003,Detroit Lakes Public School District,Detroit Lakes Senior High,Becker,898
0022-01-004,Detroit Lakes Public School District,Detroit Lakes Middle,Becker,622
0022-01-010,Detroit Lakes Public School District,Rossman Elementary,Becker,570
