MDE ID, County, Name, City, 9/18/21, 10/2/21
0011-01-192, Hennepin, Champlin Park High School, Champlin, 10-19, 10-19
0011-01-006, Hennepin, Jackson Middle, Champlin, 10-19, 10-19
0011-01-425, Hennepin, Oxbow Creek Elementary, Champlin, 0-4, 10-19
0279-31-003, Hennepin, St- John's Lutheran, Corcoran, 5-9, 0-4
0011-01-424, Hennepin, Dayton Elementary, Dayton, 5-9, 10-19
0272-01-065, Hennepin, Central Middle School, Eden Prairie, 0-4, 10-19
0272-01-886, Hennepin, Eagle Heights Spanish Immersion, Eden Prairie, 5-9, 5-9
0272-01-883, Hennepin, Eden Lake Elementary, Eden Prairie, 0-4, 5-9
0272-01-880, Hennepin, Oak Point Elementary, Eden Prairie, 5-9, 5-9
0272-01-881, Hennepin, Prairie View Elementary, Eden Prairie, 0-4, 5-9
0273-01-526, Hennepin, Concord Elementary, Edina, 0-4, 10-19
0273-01-532, Hennepin, Creek Valley Elementary, Edina, 5-9, 0-4
1000-70-010, Hennepin, Perpich Center For Arts Education, Golden Valley, 0-4, 5-9
0278-01-662, Hennepin, Orono Intermediate Elementary, Long Lake, 0-4, 5-9
0278-01-031, Hennepin, Orono Middle, Long Lake, 0-4, 5-9
0279-31-007, Hennepin, Ave Maria Academy, Maple Grove, 0-4, 5-9
0279-01-689, Hennepin, Fernbrook Elementary, Maple Grove, 5-9, 5-9
0279-01-094, Hennepin, Maple Grove Middle School, Maple Grove, 0-4, 5-9
0279-01-090, Hennepin, Maple Grove Senior High, Maple Grove, 5-9, 5-9
4199-07-030, Hennepin, Parnassus Preparatory School, Maple Grove, 20-29, 5-9
0279-01-685, Hennepin, Rice Lake Elementary, Maple Grove, 0-4, 5-9
0279-01-669, Hennepin, Rush Creek Elementary, Maple Grove, 0-4, 0-4
0279-01-673, Hennepin, Weaver Lake, Maple Grove, 0-4, 5-9
0001-33-011, Hennepin, Annunciation, Minneapolis, 0-4, 5-9
0001-03-300, Hennepin, Anthony Middle School, Minneapolis, 0-4, 10-19
0001-03-106, Hennepin, Barton Open Elementary, Minneapolis, 5-9, 10-19
