DAT_YER	dst_num	dst_tye	DISTRICTNAME	sch_num	schoolname	gr_kg	gr_01	gr_02	gr_03	gr_04	gr_05	gr_06	gr_07	gr_08	gr_09	gr_10	gr_11	gr_12	tot_01_06	tot_07_12	tot_kg_12	free_meal_elg	red_meal_elg	free_red_meals	lep_srv	county	county_name	eco_dev
20-21	2358	31	TRI-COUNTY SCHOOL DISTRICT         	1	HERITAGE CHRISTIAN                 	1	2	3	2	1	2	2	2	0	2	2	3	3	12	12	25	0	0	0	0	35	Kittson                                      	01 
20-21	2365	31	G.F.W.                             	10	PRAIRIE LUTHERAN SCHOOL            	7	8	5	6	12	8	12	5	7	0	0	0	0	51	12	70	9	8	17	0	72	Sibley                                       	09 
20-21	2365	31	G.F.W.                             	30	Starland School	2	3	2	0	2	1	2	0	3	2	0	2	0	10	7	19	19	0	19	0	72	Sibley                                       	09
20-21	2396	31	A.C.G.C. Public School District    	1	Riverview Christian School	0	3	3	1	3	2	4	2	2	3	0	3	3	16	13	29	0	0	0	0	47	Meeker                                       	06E
20-21	2397	31	LE SUEUR-HENDERSON SCHOOL DISTRICT 	1	ST. ANNE'S                         	20	20	17	19	20	14	0	0	0	0	0	0	0	90	0	110	0	0	0	0	40	Le Sueur                                     	09 
20-21	2534	31	BIRD ISLAND-OLIVIA-LAKE LILLIAN    	1	St. Mary's	17	18	20	19	18	12	21	17	5	0	0	0	0	108	22	147	10	11	21	0	65	Renville                                     	06E
20-21	2580	31	EAST CENTRAL SCHOOL DISTRICT       	1	HARVEST CHRISTIAN SCHOOL           	2	3	3	3	6	1	6	3	0	5	1	4	6	22	19	43	0	0	0	0	58	Pine                                         	07E
20-21	2687	31	HOWARD LAKE-WAVERLY-WINSTED        	11	St. James Lutheran	14	15	11	10	12	8	8	5	5	0	0	0	0	64	10	88	8	3	11	0	86	Wright                                       	07W
20-21	2687	31	HOWARD LAKE-WAVERLY-WINSTED        	13	HOLY TRINITY                       	12	9	9	7	12	8	13	7	12	8	7	15	4	58	53	123	15	18	33	1	43	McLeod                                       	07W
20-21	2752	31	FAIRMONT AREA SCHOOL DISTRICT      	2	ST. JAMES LUTHERAN                 	8	6	2	7	2	3	6	5	3	0	0	0	0	26	8	42	3	12	15	0	46	Martin                                       	09 
20-21	2752	31	FAIRMONT AREA SCHOOL DISTRICT      	3	ST. JOHN VIANNEY                   	12	11	14	9	12	14	8	0	0	0	0	0	0	68	0	80	18	7	25	0	46	Martin                                       	09 
20-21	2752	31	FAIRMONT AREA SCHOOL DISTRICT      	4	ST. PAUL LUTHERAN                  	14	9	10	8	3	9	4	10	4	0	0	0	0	43	14	71	13	5	18	0	46	Martin                                       	09 
20-21	2752	31	FAIRMONT AREA SCHOOL DISTRICT      	6	MARTIN LUTHER H.S.                 	0	0	0	0	0	0	0	0	0	14	16	16	5	0	51	51	0	0	0	3	46	Martin                                       	09 
20-21	2752	31	FAIRMONT AREA SCHOOL DISTRICT      	7	Fairmont Christian School          	8	4	9	3	0	0	0	0	0	0	0	0	0	16	0	24	0	0	0	0	46	Martin                                       	09 
20-21	2753	31	Long Prairie-Grey Eagle School Dist	2	ST. MARY OF MT. CARMEL             	18	14	17	17	12	8	14	0	0	0	0	0	0	82	0	100	20	20	40	25	77	Todd                                         	05 
20-21	2753	31	Long Prairie-Grey Eagle School Dist	7	St. John Vianney Academy           	5	4	7	7	5	5	5	5	5	0	0	0	0	33	10	48	0	0	0	0	77	Todd                                         	05 
20-21	2769	31	MORRIS AREA PUBLIC SCHOOLS         	1	St. Mary Catholic School           	11	10	11	10	10	12	8	0	0	0	0	0	0	61	0	72	5	3	8	2	75	Stevens                                      	04 
20-21	2805	31	ZUMBROTA-MAZEPPA SCHOOL DISTRICT   	50	CHRIST LUTHERAN SCHOOL             	7	5	10	5	5	5	6	3	4	0	0	0	0	36	7	50	0	2	2	0	25	Goodhue                                      	10 
20-21	2835	31	JANESVILLE-WALDORF-PEMBERTON       	11	TRINITY LUTHERAN                   	16	11	11	12	14	10	10	7	16	0	0	0	0	68	23	107	13	10	23	0	81	Waseca                                       	09 
20-21	2859	31	GLENCOE-SILVER LAKE SCHOOL DISTRICT	1	FIRST EV. LUTHERAN                 	14	15	13	20	9	9	12	6	4	0	0	0	0	78	10	102	15	3	18	0	43	McLeod                                       	06E
20-21	2860	31	BLUE EARTH AREA PUBLIC SCHOOL      	1	Genesis Classical Academy          	9	8	9	8	8	8	7	3	6	5	0	0	0	48	14	71	22	5	27	0	22	Faribault                                    	09 
20-21	2895	31	JACKSON COUNTY CENTRAL SCHOOL DIST.	1	IMMANUEL LUTHERAN                  	20	15	10	9	8	15	7	7	4	0	0	0	0	64	11	95	13	15	28	2	32	Jackson                                      	08 
20-21	2897	31	REDWOOD AREA SCHOOL DISTRICT       	11	ST. JOHN'S LUTHERAN                	15	14	12	11	20	10	15	5	14	0	0	0	0	82	19	116	15	25	40	0	64	Redwood                                      	08 
20-21	2899	31	PLAINVIEW-ELGIN-MILLVILLE          	1	IMMANUEL LUTHERAN                  	9	6	7	5	11	2	3	3	3	0	0	0	0	34	6	49	0	0	0	0	79	Wabasha                                      	10 
20-21	2904	31	TRACY AREA PUBLIC SCHOOL DISTRICT  	10	ST. MARY'S SCHOOL                  	10	7	7	4	6	4	7	0	0	0	0	0	0	35	0	45	6	1	7	0	42	Lyon                                         	08 
20-21	2905	31	TRI-CITY UNITED SCHOOL DISTRICT    	2	Most Holy Redeemer School          	6	5	7	9	6	8	10	8	8	0	0	0	0	45	16	67	19	5	24	6	40	Le Sueur                                     	09 
20-21	2909	31	Rock Ridge Public Schools	11	Marquette	12	16	18	24	14	11	11	10	0	0	0	0	0	94	10	116	19	1	20	0	69	St. Louis                                    	03
